,Hotel_name,Price_before_Discount,Price_after_Discount,Tax_and_Charges,Type_of_Room,Type_of_Beds,Rating,Review,No_of_Reviews,Rooms_left,Cancellation
521,Classia Suites,"₹ 2,249","₹ 1,574",+₹ 189 taxes and charges,Deluxe Twin Room,1 large double bed,5.9,Review score ,48 reviews,Only 4 rooms left at this price on our site,
522,K C Residency,,"₹ 1,500",+₹ 180 taxes and charges,Standard Double Room,1 large double bed,6.7,Review score ,20 reviews,,
523,Hotel Sea pearl,,"₹ 1,700",+₹ 204 taxes and charges,Deluxe Family Suite,1 double bed,7.3,Good ,39 reviews,Only 4 rooms left at this price on our site,FREE cancellation • No prepayment needed
524,Cozy Duo,,"₹ 2,500",+₹ 300 taxes and charges,One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom • 139m²1 double bed,1.0,Review score ,1 review,Only 2 left at this price on our site,FREE cancellation • No prepayment needed
525,ICON Express by BHAGINI Hoodi,,"₹ 3,779",+₹ 453 taxes and charges,Standard Double or Twin Room,Beds: 1 double or 2 singles,7.7,Good ,39 reviews,,
526,Ivory Tower,,"₹ 4,495",+₹ 539 taxes and charges,Executive Suite,Private suite • 1 bedroom • 1 living room • 1 bathroom • 46m²2 large double beds,7.9,Good ,17 reviews,Only 4 left at this price on our site,Free cancellation
527,Star Bliss Plaza,,"₹ 1,200",+₹ 144 taxes and charges,Deluxe Room,1 double bed,5.0,Review score ,10 reviews,,FREE cancellation • No prepayment needed
528,Hotel Windsor Castle Inn Brigade Rd,,"₹ 2,340",+₹ 281 taxes and charges,Standard Twin Room,2 single beds,5.6,Review score ,72 reviews,Only 3 rooms left at this price on our site,FREE cancellation • No prepayment needed
529,Square Stay,,"₹ 1,259",+₹ 151 taxes and charges,Double Room with Private Bathroom,1 double bed,,,,,FREE cancellation • No prepayment needed
530,OYO 76339 Sai Orchid,"₹ 2,145","₹ 1,072",+₹ 159 taxes and charges,Classic Triple Room,1 large double bed,6.0,Review score ,3 reviews,,Free cancellation
531,SPOT ON 88160 Zipro Stay 2,,"₹ 2,145",+₹ 287 taxes and charges,Standard Double Room,1 large double bed,,,,,FREE cancellation • No prepayment needed
532,Hotel ABM International,,"₹ 1,530",+₹ 184 taxes and charges,Budget Double Room,1 double bed,6.5,Review score ,26 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
533,OYO 79879 Elite Stays JP Nagar,"₹ 2,180","₹ 1,417",+₹ 200 taxes and charges,Apartment,Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 16m²1 double bed,5.4,Review score ,55 reviews,,Free cancellation
534,OYO Townhouse 490 Indira Nagar Extention Bangalore,"₹ 4,427","₹ 2,213",+₹ 296 taxes and charges,Standard Double Room,1 large double bed,4.0,Review score ,7 reviews,,FREE cancellation • No prepayment needed
535,OYO Townhouse 254 HRBR-Kalyannagar,"₹ 3,155","₹ 2,051",+₹ 276 taxes and charges,Classic Triple Room,1 large double bed,4.4,Review score ,14 reviews,,Free cancellation
536,OYO 22836 Hotel Amster Inn,"₹ 2,925","₹ 1,463",+₹ 205 taxes and charges,Small Double Room,1 large double bed,4.8,Review score ,13 reviews,Only 4 rooms left at this price on our site,Free cancellation
537,Sterling Living Space - Residency Road,,"₹ 3,500",+₹ 420 taxes and charges,Executive Double Room,1 extra-large double bed,7.1,Good ,17 reviews,Only 1 room left at this price on our site,
538,Mandara Comforts,,₹ 900,Includes taxes and charges,Standard King Room,1 single bed,10,Exceptional ,1 review,,FREE cancellation • No prepayment needed
539,Hotel Phoenix,,"₹ 2,160",+₹ 259 taxes and charges,Standard Double Room,1 large double bed,2.5,Review score ,6 reviews,,FREE cancellation • No prepayment needed
540,FabExpress Oriental Suite Banashankari,"₹ 2,081","₹ 1,124",+₹ 135 taxes and charges,Deluxe Double Room,1 double bed,6.7,Review score ,52 reviews,,Free cancellation
541,Shravanthi Sarovar Portico,,"₹ 5,579",+₹ 803 taxes and charges,Superior Double and Twin Room,"2 beds (1 single, 1 extra-large double)",7.2,Good ,84 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
542,Treebo Trend Akshaya Lalbagh Inn Ashoka Pillar,"₹ 4,711","₹ 2,356",+₹ 283 taxes and charges,[Sanitized] Standard  Double Room,Beds: 1 double or 2 singles,6.7,Review score ,328 reviews,,Free cancellation
543,VASTHAV Inn,,"₹ 1,256",+₹ 151 taxes and charges,Deluxe Double Room- Non AC,1 single bed,9.0,Superb ,4 reviews,Only 3 rooms left at this price on our site,FREE cancellation • No prepayment needed
544,OYO 88840 Mn Residency,"₹ 2,316","₹ 1,158",+₹ 184 taxes and charges,Standard Double Room,2 large double beds,1.0,Review score ,2 reviews,,FREE cancellation • No prepayment needed
545,RVR Abode,,"₹ 1,695",+₹ 203 taxes and charges,Double Room,1 double bed,10,Exceptional ,1 review,Only 2 rooms left at this price on our site,FREE cancellation • No prepayment needed
546,OYO 25036 Suraksha Residency,"₹ 2,145","₹ 1,072",+₹ 159 taxes and charges,Classic Triple Room,1 large double bed,3.8,Review score ,9 reviews,,Free cancellation
547,Capital O 79412 Aishwarya Inn,"₹ 3,618","₹ 1,809",+₹ 247 taxes and charges,Deluxe Triple Room,1 large double bed,6.8,Review score ,13 reviews,,FREE cancellation • No prepayment needed
548,OYO 378 Aira Apartments,"₹ 3,854","₹ 1,927",+₹ 276 taxes and charges,Classic Triple Room,1 large double bed,5.1,Review score ,41 reviews,,Free cancellation
549,Treebo Trend Hotel Suraksha Inn Indiranagar,"₹ 5,490","₹ 2,745",+₹ 359 taxes and charges,Standard Double Room,1 large double bed,6.5,Review score ,37 reviews,,Free cancellation
550,Sri Kumara Lodge,"₹ 2,100","₹ 1,260",+₹ 151 taxes and charges,Economy Double Room,1 double bed,7.9,Good ,36 reviews,Only 4 rooms left at this price on our site,FREE cancellation • No prepayment needed
551,Istay Hotels Rajajinagar,,"₹ 5,958",+₹ 715 taxes and charges,Mango Standard Room,1 large double bed,6.2,Review score ,12 reviews,,FREE cancellation • No prepayment needed
552,OYO Townhouse 049 HSR Layout,"₹ 6,389","₹ 3,195",+₹ 413 taxes and charges,Classic Triple Room,1 large double bed,4.8,Review score ,23 reviews,,Free cancellation
553,Hotel The Shack,,"₹ 2,708",+₹ 325 taxes and charges,Deluxe Double room Non AC,1 large double bed,7.4,Good ,56 reviews,Only 3 rooms left at this price on our site,FREE cancellation • No prepayment needed
554,OYO 37297 N R Deluxe,"₹ 2,039","₹ 1,325",+₹ 189 taxes and charges,Classic Triple Room,1 large double bed,5.0,Review score ,3 reviews,,Free cancellation
555,Sapphire Inn,"₹ 1,140",₹ 912,Includes taxes and charges,Deluxe Double Room,1 double bed,7.0,Good ,62 reviews,Only 1 room left at this price on our site,
556,Livi Suites - Premium 1 BHK Serviced Apartments,,"₹ 2,280",+₹ 274 taxes and charges,One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 35m²1 large double bed,8.2,Very good ,74 reviews,Only 1 left at this price on our site,
557,OYO Flagship 83187 Shiv Enclave,"₹ 2,014","₹ 1,309",+₹ 187 taxes and charges,Classic Triple Room,2 extra-large double beds,3.3,Review score ,3 reviews,,FREE cancellation • No prepayment needed
558,Fountain Tree by TGI,,"₹ 5,000",+₹ 600 taxes and charges,Executive Double Room,1 large double bed,7.7,Good ,89 reviews,,FREE cancellation • No prepayment needed
559,Hotel RK Gardenia,,"₹ 2,940",+₹ 353 taxes and charges,Deluxe Room,1 double bed,7.3,Good ,10 reviews,,FREE cancellation • No prepayment needed
560,OYO Flagship 77157 Puttana Chetty Townhall,"₹ 2,234","₹ 1,117",+₹ 164 taxes and charges,Small Double Room,1 large double bed,3.4,Review score ,5 reviews,Only 2 rooms left at this price on our site,Free cancellation
561,Ixora Suites,,"₹ 4,800",+₹ 576 taxes and charges,Deluxe Studio,"Entire studio • 1 bathroom • 33m²2 beds (1 large double, 1 futon)",7.5,Good ,30 reviews,Only 1 left at this price on our site,Free cancellation
562,Vennela Hotel Apartments,,"₹ 2,600",+₹ 312 taxes and charges,Deluxe Double Room,1 single bed,9.6,Exceptional ,5 reviews,Only 3 rooms left at this price on our site,FREE cancellation • No prepayment needed
563,FabHotel Purple Suites Inn,"₹ 2,709","₹ 1,463",+₹ 206 taxes and charges,Deluxe Room,1 double bed,6.3,Review score ,16 reviews,Only 2 rooms left at this price on our site,Free cancellation
564,Bloom Hotel - Brookefield,,"₹ 4,000",+₹ 480 taxes and charges,Standard Queen Room,1 double bed,6.8,Review score ,6 reviews,,FREE cancellation • No prepayment needed
565,Whitefield Service Apartment,,"₹ 2,249",+₹ 270 taxes and charges,Executive Double Room,1 double bed,2.8,Review score ,3 reviews,Only 1 room left at this price on our site,
566,Castle JP Service Apartments,,"₹ 4,399",+₹ 528 taxes and charges,Two-Bedroom Apartment,"Entire apartment • 2 bedrooms • 2 living rooms • 2 bathrooms • 1 kitchen • 102m²4 beds (2 doubles, 2 sofa beds)",9.6,Exceptional ,72 reviews,Only 1 left at this price on our site,FREE cancellation • No prepayment needed
567,Treebo Trip Galaxy Suites Hebbal,"₹ 3,533","₹ 1,766",+₹ 212 taxes and charges,Standard Double Room,1 large double bed,7.7,Good ,26 reviews,,Free cancellation
568,Confido Suites,,"₹ 1,799",+₹ 216 taxes and charges,Deluxe Double or Twin Room,"3 beds (2 singles, 1 large double)",2.0,Review score ,2 reviews,,FREE cancellation • No prepayment needed
569,Capital O 80212 Rams 4 Seasons Boutique Hotel,"₹ 2,551","₹ 1,658",+₹ 229 taxes and charges,Standard Double Room,1 extra-large double bed,4.5,Review score ,22 reviews,,
570,Treebo Trip Comfort Delight Madiwala,"₹ 3,125","₹ 1,563",+₹ 218 taxes and charges,Standard Double Room,1 large double bed,5.9,Review score ,32 reviews,,Free cancellation
571,Woody's,,"₹ 2,232",+₹ 268 taxes and charges,Deluxe Double Room,1 extra-large double bed,7.3,Good ,12 reviews,Only 2 rooms left at this price on our site,FREE cancellation • No prepayment needed
