,Hotel_name,Price_before_Discount,Price_after_Discount,Tax_and_Charges,Type_of_Room,Type_of_Beds,Rating,Review,No_of_Reviews,Rooms_left,Cancellation
722,OYO 78899 Exotic Stay BG Road,"₹ 1,538","₹ 1,000",+₹ 45 taxes and charges,Apartment,Entire apartment • 1 bedroom • 1 bathroom • 16m²1 double bed,5.5,Review score ,18 reviews,,FREE cancellation • No prepayment needed
723,OYO 76521 Manan Paradise,"₹ 3,762","₹ 2,445",+₹ 323 taxes and charges,Classic Triple Room,"3 beds (1 single, 1 double, 1 large double)",4.3,Review score ,4 reviews,,Free cancellation
724,Royal Comfort inn,,"₹ 1,250",+₹ 150 taxes and charges,Standard Double Room,2 single beds,4.0,Review score ,3 reviews,,
725,OYO 87278 Royal Grand Residency,"₹ 2,380","₹ 1,190",+₹ 173 taxes and charges,Standard Double Room,1 large double bed,1.0,Review score ,3 reviews,,FREE cancellation • No prepayment needed
726,OYO 9251 NAR Comforts,"₹ 2,986","₹ 1,493",+₹ 209 taxes and charges,Classic Triple Room,1 large double bed,5.3,Review score ,7 reviews,,Free cancellation
727,OYO 78266 Collection O Sathyajyothi Comforts,"₹ 3,409","₹ 1,704",+₹ 250 taxes and charges,Classic Triple Room,1 large double bed,6.6,Review score ,16 reviews,,FREE cancellation • No prepayment needed
728,PRANAM COMFORTS LODGE,,₹ 995,Includes taxes and charges,Standard Double Room with Fan - Indian nationals only ,2 single beds,6.0,Review score ,7 reviews,Only 3 rooms left at this price on our site,FREE cancellation • No prepayment needed
729,OYO 78899 Exotic Stay BG Road,"₹ 1,538","₹ 1,000",+₹ 45 taxes and charges,Apartment,Entire apartment • 1 bedroom • 1 bathroom • 16m²1 double bed,5.5,Review score ,18 reviews,,FREE cancellation • No prepayment needed
730,OYO 76521 Manan Paradise,"₹ 3,762","₹ 2,445",+₹ 323 taxes and charges,Classic Triple Room,"3 beds (1 single, 1 double, 1 large double)",4.3,Review score ,4 reviews,,Free cancellation
731,Royal Comfort inn,,"₹ 1,250",+₹ 150 taxes and charges,Standard Double Room,2 single beds,4.0,Review score ,3 reviews,,
732,OYO 87167 Sri Ranganatha Boarding And Lodging,"₹ 2,414","₹ 1,569",+₹ 218 taxes and charges,Classic Triple Room,1 large double bed,,,,Only 2 rooms left at this price on our site,FREE cancellation • No prepayment needed
733,SPOT ON 48822 Balaji Residency,"₹ 1,340",₹ 670,+₹ 30 taxes and charges,Triple Room with Bathroom,2 large double beds,4.6,Review score ,12 reviews,,Free cancellation
734,SPOT ON 84984 Sanay Lodge,"₹ 2,145","₹ 1,072",+₹ 144 taxes and charges,Triple Room with Bathroom,1 extra-large double bed,3.3,Review score ,3 reviews,,Free cancellation
735,OYO 62942 The L I T Hotel,"₹ 2,145","₹ 1,072",+₹ 159 taxes and charges,Small Double Room,"3 beds (1 single, 2 large doubles)",3.1,Review score ,8 reviews,,Free cancellation
736,Sandesh Kingston by Agira Hotels,,"₹ 2,200",+₹ 264 taxes and charges,Deluxe Room,1 extra-large double bed,6.1,Review score ,8 reviews,,Free cancellation
737,Hotel Supreme Suites,,"₹ 2,250",+₹ 270 taxes and charges,Budget Double Room,1 double bed,8.7,Fabulous ,3 reviews,Only 6 rooms left at this price on our site,FREE cancellation • No prepayment needed
738,OYO 90537 Green Residency,"₹ 1,878","₹ 1,221",+₹ 177 taxes and charges,Standard Triple Room,2 large double beds,,,,,FREE cancellation • No prepayment needed
739,Hotel Kings Gateway,,"₹ 1,500",+₹ 180 taxes and charges,Deluxe Room (2 Adults + 1 Child),1 double bed,8.5,Very good ,2 reviews,Only 3 rooms left at this price on our site,FREE cancellation • No prepayment needed
740,Park Wood Suites-Fully Vaccinated Staff,,"₹ 4,908",+₹ 712 taxes and charges,Deluxe Double or Twin Room with City View,Beds: 1 double or 2 singles,8.4,Very good ,16 reviews,Only 1 room left at this price on our site,FREE cancellation • No prepayment needed
741,Hotel Royal Residency,,"₹ 1,530",+₹ 184 taxes and charges,Standard Double Room,1 large double bed,5.2,Review score ,5 reviews,,FREE cancellation • No prepayment needed
742,The Fern Residency - Yeshwanthpur,,"₹ 5,592",+₹ 671 taxes and charges,Winter Green Room,"2 beds (1 double, 1 futon)",6.8,Review score ,59 reviews,,
743,Vaccinated Staff - Capital O 12543 Three Square,"₹ 4,032","₹ 2,016",+₹ 287 taxes and charges,Budget Double Room,2 large double beds,5.5,Review score ,6 reviews,,Free cancellation
744,OYO 13594 Mathrushree Residency,"₹ 2,705","₹ 1,353",+₹ 207 taxes and charges,Classic Triple Room,1 large double bed,6.3,Review score ,21 reviews,,Free cancellation
745,"DBR SUITES, Sarjapur Road","₹ 3,703","₹ 2,222",+₹ 267 taxes and charges,Deluxe Double Room,1 large double bed,4.4,Review score ,5 reviews,,FREE cancellation • No prepayment needed
746,Mulberry Inn,,"₹ 2,150",+₹ 258 taxes and charges,Deluxe Double Room,1 double bed,,,,,Free cancellation
747,Vega Residency,,₹ 999,Includes taxes and charges,Budget Double Room,1 double bed,7.0,Good ,7 reviews,Only 7 rooms left at this price on our site,FREE cancellation • No prepayment needed
748,SEASONS RESIDENCY,,"₹ 2,600",+₹ 312 taxes and charges,Deluxe Suite,Private suite • 1 bedroom • 1 living room • 1 bathroom2 single beds,,,,Only 4 left at this price on our site,FREE cancellation • No prepayment needed
749,Shakthi Hill Resorts Pvt Ltd,,"₹ 4,699",+₹ 564 taxes and charges,Standard Double Room,1 double bed,5.5,Review score ,2 reviews,,FREE cancellation • No prepayment needed
750,OYO 5964 Manyata Tech Park,"₹ 2,566","₹ 1,283",+₹ 199 taxes and charges,Standard Double Room,1 large double bed,5.5,Review score ,13 reviews,,Free cancellation
751,OYO 9419 Manu Residency,"₹ 2,461","₹ 1,230",+₹ 178 taxes and charges,Standard Double Room,1 extra-large double bed,5.1,Review score ,17 reviews,,Free cancellation
752,Sunshine Suites-Deluxe,,"₹ 1,600",+₹ 192 taxes and charges,Deluxe Double or Twin Room,2 single beds,7.4,Good ,9 reviews,Only 1 room left at this price on our site,Free cancellation
753,Vintage inn by Pepe Hospitality,,"₹ 2,250",+₹ 270 taxes and charges,Standard Double Room,1 extra-large double bed,,,,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
754,Brahmi Wellness Retreat & Spa,"₹ 22,500","₹ 19,125","+₹ 3,443 taxes and charges",Three-Bedroom Bungalow,"Entire bungalow • 3 bedrooms • 1 living room • 3 bathrooms • 1 kitchen • 153m²6 beds (4 singles, 1 extra-large double, 1 sofa bed)",8.3,Very good ,3 reviews,,
755,Hotel Geo,,"₹ 2,700",+₹ 324 taxes and charges,Standard Double Room,1 double bed,7.6,Good ,8 reviews,,FREE cancellation • No prepayment needed
756,OYO 66612 Jai Comforts,"₹ 2,560","₹ 1,664",+₹ 230 taxes and charges,Deluxe Double Room,1 large double bed,5.6,Review score ,5 reviews,,Free cancellation
757,OYO 19934 Hotel Golden Arch,"₹ 1,876","₹ 1,219",+₹ 176 taxes and charges,Standard Double Room,2 large double beds,2.2,Review score ,6 reviews,,Free cancellation
758,OYO Townhouse 040 Global Village Tech Park,"₹ 3,805","₹ 2,473",+₹ 327 taxes and charges,Classic Triple Room,1 large double bed,5.9,Review score ,20 reviews,,Free cancellation
759,Collection O 84605 SRK Diamond Inn,"₹ 3,495","₹ 1,747",+₹ 240 taxes and charges,Classic Triple Room,1 extra-large double bed,,,,,Free cancellation
760,ANANYA COMFORTSS - KORAMANGALA,,"₹ 2,200",+₹ 264 taxes and charges,Budget Double or Twin Room,1 large double bed,5.9,Review score ,14 reviews,,Free cancellation
761,Apple Tree Apart Hotel,,"₹ 3,699",+₹ 444 taxes and charges,Superior Deluxe Double or Twin Room ,1 extra-large double bed,8.0,Very good ,3 reviews,Only 2 rooms left at this price on our site,FREE cancellation • No prepayment needed
762,OYO Flagship 18338 White Fort,"₹ 2,236","₹ 1,118",+₹ 164 taxes and charges,Small Double Room,1 large double bed,3.8,Review score ,13 reviews,Only 3 rooms left at this price on our site,Free cancellation
763,Collection O 81643 Swayamkrushi Arcade,"₹ 2,255","₹ 1,466",+₹ 221 taxes and charges,Standard Double Room,1 extra-large double bed,2.7,Review score ,3 reviews,,Free cancellation
764,Collection O 14320 Pride Manyata,"₹ 1,982",₹ 991,+₹ 45 taxes and charges,Classic Triple Room,1 large double bed,5.1,Review score ,12 reviews,,Free cancellation
765,La Sara Hometel Formerly Known as Nandhana Hometel,,"₹ 3,690",+₹ 443 taxes and charges,Standard Double or Twin Room,"3 beds (2 singles, 1 double)",6.7,Review score ,23 reviews,Only 3 rooms left at this price on our site,
766,Collection O 40090 Vittala Comfort,"₹ 2,013","₹ 1,006",+₹ 151 taxes and charges,Classic Triple Room,1 large double bed,2.0,Review score ,3 reviews,,Free cancellation
767,Octave Royal Embassy,,"₹ 1,590",+₹ 191 taxes and charges,Deluxe Double Room,1 large double bed,2.2,Review score ,5 reviews,,FREE cancellation • No prepayment needed
768,OYO 15695 Varcity Comforts,"₹ 2,620","₹ 1,310",+₹ 202 taxes and charges,Standard Double Room,1 large double bed,3.0,Review score ,2 reviews,,Free cancellation
769,FabHotel Spiro Grand,"₹ 5,208","₹ 2,812",+₹ 337 taxes and charges,Deluxe Room,1 double bed,6.9,Review score ,12 reviews,Only 7 rooms left at this price on our site,Free cancellation
770,OYO Townhouse 093 Ramamurthy Nagar,"₹ 4,968","₹ 2,484",+₹ 328 taxes and charges,Classic Triple Room,1 large double bed,4.2,Review score ,35 reviews,,Free cancellation
771,SPOT ON 75643 Golden Guest House,"₹ 1,207",₹ 785,+₹ 30 taxes and charges,Triple Room with Bathroom,1 large double bed,5.3,Review score ,3 reviews,,Free cancellation
772,Capital O 90316 Manyata Palace,"₹ 2,031","₹ 1,320",+₹ 158 taxes and charges,Standard Double Room,1 large double bed,,,,,FREE cancellation • No prepayment needed
773,Dhruv Palace by JT Royal,"₹ 2,199","₹ 1,869",+₹ 224 taxes and charges,Deluxe Room,1 large double bed,7.5,Good ,2 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
774,OYO 76452 New Town Residency,"₹ 3,770","₹ 1,885",+₹ 256 taxes and charges,Classic Triple Room,1 extra-large double bed,3.0,Review score ,7 reviews,,Free cancellation
775,PANCHAMI COMFORTS,,"₹ 2,300",+₹ 276 taxes and charges,Deluxe Double Room,1 large double bed,7.5,Good ,2 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
776,SPOT ON 75643 Golden Guest House,"₹ 1,508",₹ 980,+₹ 30 taxes and charges,Triple Room with Bathroom,1 large double bed,5.3,Review score ,3 reviews,,Free cancellation
777,OYO 10291 Sri Venkatadri Residency,"₹ 2,252","₹ 1,126",+₹ 165 taxes and charges,Standard Double Room,1 large double bed,3.0,Review score ,8 reviews,,Free cancellation
778,OYO 26817 Gks Residency,"₹ 2,072","₹ 1,347",+₹ 207 taxes and charges,Classic Triple Room,1 extra-large double bed,3.2,Review score ,7 reviews,,Free cancellation
779,OYO 15776 V R Residency,"₹ 2,259","₹ 1,129",+₹ 166 taxes and charges,Small Double Room,2 single beds,4.5,Review score ,9 reviews,,Free cancellation
780,Kingston Palace,,"₹ 2,400",+₹ 288 taxes and charges,Deluxe Family Room,Multiple bed types,7.2,Good ,4 reviews,Only 1 room left at this price on our site,Free cancellation
781,CITRIX PREMIER SERVICE APARTMENT,,"₹ 2,950",+₹ 354 taxes and charges,Deluxe Double Room (1 adult + 2 children),"3 beds (1 double, 1 extra-large double, 1 large double)",,,,,FREE cancellation • No prepayment needed
782,Garden Apartments Enigma - 1 Bedroom in a shared 3bhk with access to all facilities,,₹ 899,Includes taxes and charges,One-Bedroom Apartment,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 125m²5 beds (1 extra-large double, 4 sofa beds)",,,,Only 1 left at this price on our site,FREE cancellation • No prepayment needed
783,Garden Apartments Ecstasy - 1 Bedroom in a shared 3bhk with access to all facilities,,₹ 899,Includes taxes and charges,One-Bedroom Apartment,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 125m²7 beds (1 extra-large double, 6 sofa beds)",,,,Only 1 left at this price on our site,FREE cancellation • No prepayment needed
784,OYO Flagship 9528 Hotel Midas Casita,"₹ 2,834","₹ 1,417",+₹ 200 taxes and charges,Standard Double Room,2 double beds,6.0,Review score ,7 reviews,,Free cancellation
785,"Ajantha Komforts, Bengaluru",,"₹ 3,100",+₹ 372 taxes and charges,Deluxe Double Room,1 double bed,7.9,Good ,11 reviews,Only 7 rooms left at this price on our site,FREE cancellation • No prepayment needed
786,Stay for Uptu 10 pax in a 3BH @ Frazer Town For Parties/Event,,"₹ 1,499",+₹ 180 taxes and charges,Budget Double Room,1 large double bed,3.2,Review score ,5 reviews,,FREE cancellation • No prepayment needed
787,OYO 76346 N D S Comforts,"₹ 3,252","₹ 2,114",+₹ 284 taxes and charges,Classic Triple Room,1 large double bed,3.8,Review score ,5 reviews,,Free cancellation
788,Starlit Suites,,"₹ 5,624",+₹ 675 taxes and charges,Premium Studio,Private studio • 1 bathroom • 62m²1 large double bed,7.4,Good ,13 reviews,,Free cancellation
789,Cranberry Hospitality Services,,"₹ 1,500",+₹ 180 taxes and charges,Budget Double Room,1 double bed,5.5,Review score ,2 reviews,,Free cancellation
790,Spacious 3BHK Flat,,"₹ 3,600",+₹ 732 taxes and charges,Apartment with Balcony,"Entire apartment • 3 bedrooms • 1 living room • 3 bathrooms • 1 kitchen • 149m²4 beds (1 single, 2 doubles, 1 sofa bed)",,,,,Free cancellation
791,HLVGRANDINN,,"₹ 1,709",+₹ 205 taxes and charges,Deluxe Triple Room,"2 beds (1 single, 1 double)",7.6,Good ,5 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
792,Shoba Suites-Kammanahalli,"₹ 2,400","₹ 2,160",+₹ 259 taxes and charges,Standard One-Bedroom Apartment,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 33m²2 beds (1 large double, 1 futon)",6.2,Review score ,29 reviews,Only 2 left at this price on our site,FREE cancellation • No prepayment needed
793,Krishinton Suites,"₹ 3,999","₹ 3,199",+₹ 384 taxes and charges,Standard Suite,Private suite1 double bed,7.7,Good ,13 reviews,,FREE cancellation • No prepayment needed
794,SPOT ON 79742 Sri Sai Grand In 2,"₹ 1,574",₹ 787,+₹ 30 taxes and charges,Triple Room with Bathroom,1 large double bed,1.0,Review score ,2 reviews,Only 7 rooms left at this price on our site,FREE cancellation • No prepayment needed
795,FabHotel Suvee Boutique Banashankari,"₹ 7,291","₹ 3,937",+₹ 472 taxes and charges,Superior Double Room,1 large double bed,7.8,Good ,18 reviews,,Free cancellation
796,OYO 13043 Pavithra Regency,"₹ 2,471","₹ 1,606",+₹ 223 taxes and charges,Standard Double Room,1 large double bed,3.5,Review score ,2 reviews,,Free cancellation
797,Cozy 3BHK Flat,,"₹ 2,340",+₹ 281 taxes and charges,Three-Bedroom Apartment,Entire apartment • 3 bedrooms • 2 bathrooms • 1 kitchen • 139m²3 double beds,,,,Only 1 left at this price on our site,
798,OYO Flagship 46682 New Andra House,"₹ 3,352","₹ 1,676",+₹ 231 taxes and charges,Small Double Room,1 large double bed,4.0,Review score ,2 reviews,Only 3 rooms left at this price on our site,Free cancellation
799,STAYMAKER Hotel Madhu,,"₹ 1,999",+₹ 240 taxes and charges,Budget Double Room,1 double bed,4.0,Review score ,2 reviews,,FREE cancellation • No prepayment needed
800,STAYMAKER Hotel Madhu,,"₹ 1,999",+₹ 240 taxes and charges,Budget Double Room,1 double bed,4.0,Review score ,2 reviews,,FREE cancellation • No prepayment needed
801,Taura Comfort,,"₹ 2,340",Includes taxes and charges,Double Room,2 single beds,7.4,Good ,7 reviews,Only 2 rooms left at this price on our site,
802,"Diamond district, indiranagar",,"₹ 4,300",+₹ 516 taxes and charges,Deluxe Queen Studio ,Entire studio • 1 bathroom • 21m²1 large double bed,1.0,Review score ,1 review,,FREE cancellation • No prepayment needed
803,Sairam Residency Boutique Hotel,,"₹ 1,400",+₹ 168 taxes and charges,Standard Non AC Room,Multiple bed types,7.4,Good ,9 reviews,Only 6 rooms left at this price on our site,
804,OYO 1161 Hotel Golden Residency,"₹ 3,050","₹ 1,525",+₹ 213 taxes and charges,Classic Triple Room,1 extra-large double bed,3.5,Review score ,2 reviews,,Free cancellation
805,Hoodo I Mia - Stunning One Bedroom Apartment,,"₹ 4,600",+₹ 552 taxes and charges,One-Bedroom Apartment,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom2 beds (1 extra-large double, 1 sofa bed)",,,,Only 1 left at this price on our site,FREE cancellation • No prepayment needed
806,Capital O 2323 Royal Executive Inn,,"₹ 2,468",+₹ 326 taxes and charges,Deluxe Triple Room,1 large double bed,5.4,Review score ,6 reviews,,Free cancellation
807,By the way - By TripO,,"₹ 5,061",+₹ 607 taxes and charges,Three-Bedroom House,"Entire holiday home • 3 bedrooms • 1 living room • 2 bathrooms4 beds (1 double, 1 sofa bed, 2 large doubles)",,,,Only 1 left at this price on our site,FREE cancellation • No prepayment needed
808,Hotel Gurudev Residency,,"₹ 1,699",+₹ 204 taxes and charges,Deluxe ,1 large double bed,,,,Only 6 rooms left at this price on our site,FREE cancellation • No prepayment needed
809,GL BLOSSOM SERVICE APARTMENTS,,"₹ 3,367",+₹ 404 taxes and charges,One-Bedroom Apartment,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 670m²2 beds (1 double, 1 sofa bed)",,,,,FREE cancellation • No prepayment needed
810,Farmer's Retreat- The Ginger,,"₹ 2,500",+₹ 300 taxes and charges,Double Room,"2 beds (1 large double, 1 futon)",10,Exceptional ,1 review,Only 1 room left at this price on our site,FREE cancellation • No prepayment needed
811,Penthouse 2.0,,"₹ 2,479",+₹ 298 taxes and charges,Double Room,"3 beds (2 doubles, 1 large double)",10,Exceptional ,1 review,Only 1 room left at this price on our site,FREE cancellation • No prepayment needed
812,OYO 12965 Archana INN,"₹ 2,491","₹ 1,246",+₹ 179 taxes and charges,Classic Triple Room,2 large double beds,5.2,Review score ,11 reviews,,Free cancellation
813,OYO 10525 Varcity Abra Madiwala,,"₹ 5,663",+₹ 710 taxes and charges,Classic Triple Room,3 single beds,5.2,Review score ,5 reviews,,Free cancellation
814,Habitat15@airlines,,"₹ 3,995",+₹ 479 taxes and charges,Double or Twin Room with Bathroom,2 single beds,,,,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
815,OYO 63821 Beauty Hoems,,"₹ 6,782",+₹ 844 taxes and charges,Classic Triple Room,1 large double bed,,,,,Free cancellation
816,The pride,,"₹ 1,700",+₹ 204 taxes and charges,Deluxe King Room,1 double bed,,,,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
817,Squar Stay,,"₹ 3,779",+₹ 454 taxes and charges,One-Bedroom Apartment,"Entire apartment • 1 bedroom • 4 bathrooms • 19m²6 beds (2 singles, 4 large doubles)",,,,Only 1 left at this price on our site,FREE cancellation • No prepayment needed
818,Capital O 87828 The Adthiya Grand Inn,,"₹ 2,648",+₹ 348 taxes and charges,Classic Triple Room,1 large double bed,,,,,FREE cancellation • No prepayment needed
819,Kin Koral,"₹ 3,000","₹ 2,250",+₹ 270 taxes and charges,Deluxe King Room,"6 beds (3 extra-large doubles, 3 large doubles)",,,,Only 1 room left at this price on our site,Free cancellation
820,SAGAR NIWAS by XD ASSOCIATES,,"₹ 4,000",+₹ 480 taxes and charges,One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom • 38m²1 large double bed,9.7,Exceptional ,3 reviews,Only 1 left at this price on our site,FREE cancellation • No prepayment needed
821,OYO 2677 Hotel Royal Blue,,"₹ 5,663",+₹ 710 taxes and charges,Classic Triple Room,1 large double bed,5.5,Review score ,2 reviews,,Free cancellation
822,Kaina villa,,"₹ 4,800",+₹ 576 taxes and charges,Double Room,1 double bed,,,,,FREE cancellation • No prepayment needed
823,88449 Sri Vishnu Residency,,"₹ 2,364",+₹ 314 taxes and charges,Classic Triple Room,1 large double bed,,,,,FREE cancellation • No prepayment needed
824,Sri Sai Lilly Enclave,,"₹ 10,000","+₹ 1,800 taxes and charges",One-Bedroom Apartment,"Entire apartment • 1 bedroom • 1 bathroom • 1,000m²1 double bed",,,,,FREE cancellation • No prepayment needed
825,StayVista at Ananta,,"₹ 23,805","+₹ 4,285 taxes and charges",Two-Bedroom Villa,Entire villa • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 232m²2 large double beds,10,Exceptional ,2 reviews,,
826,StayVista at Udhbhava Kamala,,"₹ 23,985","+₹ 4,317 taxes and charges",Villa,"Entire villa • 4 bedrooms • 1 living room • 4 bathrooms • 1 kitchen • 348m²5 beds (1 sofa bed, 4 large doubles)",9.0,Superb ,2 reviews,,
827,White Sky Villa,,"₹ 45,600","+₹ 8,208 taxes and charges",Four-Bedroom House,"Entire holiday home • 4 bedrooms • 2 living rooms • 4 bathrooms • 1 kitchen8 beds (4 sofa beds, 4 large doubles)",,,,Only 1 left at this price on our site,Free cancellation
828,Locul.Central,,"₹ 1,712",Includes taxes and charges,Bed in 6-Bed Mixed Dormitory Room,2 beds in dormitories2 bunk beds,9.0,Superb ,347 reviews,,Free cancellation
829,Zostel Bangalore,,"₹ 1,198",Includes taxes and charges,Bed in 10-Bed Mixed Dormitory Room,2 beds in dormitories2 bunk beds,8.6,Fabulous ,492 reviews,,FREE cancellation • No prepayment needed
830,bloomrooms @ Indiranagar,,"₹ 6,000",+₹ 720 taxes and charges,Standard Single Room,2 single beds,8.1,Very good ,335 reviews,,FREE cancellation • No prepayment needed
831,The Hood CoLiving Space & Hostel,,₹ 948,Includes taxes and charges,Bed in 4-Bed Male Dormitory Room,Bed in dormitory • 120m²1 bunk bed,8.5,Very good ,115 reviews,,Free cancellation – no prepayment needed
832,"Draper Startup House ,Koramangala",,"₹ 1,700",Includes taxes and charges,Bed in 4-Bed Female Dormitory Room,2 beds in dormitories2 bunk beds,8.9,Fabulous ,70 reviews,,
833,KR Inn Hotel & Convention Centre,,"₹ 9,159","+₹ 1,099 taxes and charges",Deluxe Single Room,2 single beds,7.4,Good ,28 reviews,,Free cancellation
834,Hackerpacker Backpackers Hostel,,₹ 900,Includes taxes and charges,Bed in 6-Bed Mixed Dormitory Room,2 beds in dormitories2 bunk beds,7.6,Good ,75 reviews,,FREE cancellation • No prepayment needed
835,Transit Dorms - A Backpackers Inn & Hostel,,₹ 800,Includes taxes and charges,Bed in Male Dormitory Room,2 beds in dormitories2 single beds,7.5,Good ,153 reviews,,Free cancellation
836,BE ANIMAL Hostel,,"₹ 1,850",+₹ 144 taxes and charges,Bunk Bed in Mixed Dormitory Room,Bed in dormitory • 50m²1 single bed,9.1,Superb ,101 reviews,,Free cancellation – no prepayment needed
837,Hibernest Domlur,,"₹ 1,260",Includes taxes and charges,Bed in 4-Bed Mixed Dormitory Room,2 beds in dormitories2 bunk beds,6.7,Review score ,3 reviews,,
838,The Little Blue Window Hostel,,"₹ 1,248",Includes taxes and charges,Single Bed in Female Dormitory Room,Bed in dormitory • 11m²1 single bed,8.8,Fabulous ,208 reviews,,Free cancellation – no prepayment needed
839,HOTEL STAY INN,,"₹ 3,998",+₹ 480 taxes and charges,Budget Single Room,2 single beds,9.0,Superb ,2 reviews,,FREE cancellation • No prepayment needed
840,Abuzz Oxfordcaps Bannerghatta,,"₹ 1,000",Includes taxes and charges,Bunk Bed in Male Dormitory Room ,2 beds in dormitories2 bunk beds,3.5,Review score ,2 reviews,,FREE cancellation • No prepayment needed
841,Jayamahal Palace,,"₹ 6,840",+₹ 821 taxes and charges,Standard Double or Twin Room,Choice of beds: double or singles,6.8,Review score ,51 reviews,,Free cancellation
842,SPOT ON 47596 Gayatri Comforts,"₹ 3,232","₹ 1,616",+₹ 30 taxes and charges,Single Room with Bathroom,2 large double beds,3.4,Review score ,14 reviews,,Free cancellation
843,zions hotel,,"₹ 6,000",+₹ 720 taxes and charges,Deluxe Single Room with Balcony,2 single beds,,,,,FREE cancellation • No prepayment needed
