,Unnamed: 0,Unnamed: 0.1,Hotel_name,Price_before_Discount,Price_after_Discount,Tax_and_Charges,Type_of_Room,Type_of_Beds,Rating,Review,No_of_Reviews,Rooms_left,Cancellation
417,417,417,La Sara Pride Formerly Known as Nandhana Pride,0,3510, 421 ,Deluxe Room,1 large double bed,6.3,Plesant ,16,Only 3 rooms left ,
418,418,418,Professionals Pride PG,725,580,Includes ,Double Room with Shared Bathroom,2 single beds,6.2,Plesant ,54,Only 1 room left ,
419,419,419,OYO Flagship 81248 Blooms Residency,2370,1185, 187 ,Classic Triple Room,1 large double bed,7.0,Good ,27,No Rooms left,FREE cancellation • No prepayment needed
420,420,420,Shoba Tulip Hebbal,1499,1349, 162 ,Executive Room Non AC,1 double bed,6.8,Plesant ,31,Only 5 rooms left ,FREE cancellation • No prepayment needed
421,421,421,Hotel Virat Siridarshni,0,3000, 360 ,Premium,2 single beds,10.0,Exceptional ,1,Only 1 room left ,FREE cancellation • No prepayment needed
422,422,422,Mistyblue Serviced Apartments,0,6650, 798 ,Two-Bedroom Apartment,Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 111m²2 double beds,8.6,Fabulous ,173,Only 3 left ,FREE cancellation • No prepayment needed
423,423,423,Grand Suites,0,1260, 151 ,Deluxe Double Room with Balcony,1 double bed,6.6,Plesant ,7,Only 5 rooms left ,
424,424,424,Rosewood International Hotel,3700,2960, 355 ,Executive Room,"2 beds (1 single, 1 large double)",6.5,Plesant ,15,Only 5 rooms left ,FREE cancellation • No prepayment needed
425,425,425,Hotel UR Comforts Jayanagar,0,1540, 185 ,Deluxe Room,1 extra-large double bed,7.0,Good ,38,No Rooms left,FREE cancellation • No prepayment needed
426,426,426,Sterlings Mac Hotel & Suites,0,7300, 876 ,Deluxe Room,Multiple bed types,7.7,Good ,379,No Rooms left,Free cancellation
427,427,427,OYO 74173 Shree Ganesh Regency,1026,667, 30 ,Classic Triple Room,1 large double bed,5.3,Plesant ,15,No Rooms left,Free cancellation
428,428,428,Dunsvirk Inn- Bengaluru,5945,4756, 571 ,Deluxe ,1 extra-large double bed,3.3,Plesant ,4,Only 3 rooms left ,FREE cancellation • No prepayment needed
429,429,429,GAVISHREERESIDENCY,0,2600, 312 ,Deluxe Double Room,1 large double bed,8.0,Very good ,9,No Rooms left,
430,430,430,Al Noor Palace Business Class Hotel,0,4050, 486 ,Deluxe Double Room,1 extra-large double bed,8.6,Fabulous ,73,Only 4 rooms left ,
431,431,431,VEERDENCY LUXURY RESORT,0,3999, 480 ,Deluxe Queen Room,1 double bed,6.4,Plesant ,7,Only 2 rooms left ,FREE cancellation • No prepayment needed
432,432,432,The Continentti Whitefield,4249,3399, 408 ,Standard King Room,1 extra-large double bed,8.2,Very good ,75,Only 2 rooms left ,FREE cancellation • No prepayment needed
433,433,433,Vajra Heritage,3350,2077, 249 ,Economy Double Room,2 single beds,5.7,Plesant ,13,No Rooms left,
434,434,434,The Nines Business Hotel,3999,3199, 384 ,Standard Suite,Private suite1 double bed,7.8,Good ,14,Only 7 left ,FREE cancellation • No prepayment needed
435,435,435,Livancia Ayra,0,3000, 360 ,Superior King or Twin Room,2 single beds,7.6,Good ,50,No Rooms left,FREE cancellation • No prepayment needed
436,436,436,Octave Vels Grand Hotel,0,1400, 168 ,Deluxe Double Room,1 large double bed,10.0,Exceptional ,1,No Rooms left,FREE cancellation • No prepayment needed
437,437,437,SRI VIJAYA PALACE LODGING,0,600,Includes ,Deluxe Double Room,1 double bed,7.2,Good ,117,No Rooms left,FREE cancellation • No prepayment needed
438,438,438,MySpace Hotels Silverstar,4400,3168, 380 ,classic, 1 double or 2 singles,7.8,Good ,144,No Rooms left,FREE cancellation • No prepayment needed
439,439,439,Sunrise Triangles,0,1399, 168 ,Standard Double Room,1 large double bed,0.0,No Review,0,Only 5 rooms left ,FREE cancellation • No prepayment needed
440,440,440,Lavens-The Boutique Residence &Banquet-Fully Vaccinated Staff,4166,3125, 375 ,Deluxe Room,1 extra-large double bed,5.8,Plesant ,35,No Rooms left,Free cancellation
441,441,441,THE NISARGA GRAND,0,2500, 300 ,Standard Double Room with Fan,1 double bed,7.9,Good ,20,Only 1 room left ,
442,442,442,Stayhome Classic,3526,1657, 199 ,Standard Studio,Private studio • 1 bathroom • 1 kitchen • 10m²1 large double bed,8.6,Fabulous ,32,No Rooms left,FREE cancellation • No prepayment needed
443,443,443,Mistyblue Suites,0,4675, 561 ,Two-Bedroom Apartment,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 139m²4 beds (2 singles, 1 sofa bed, 1 large double)",8.6,Fabulous ,75,Only 5 left ,FREE cancellation • No prepayment needed
444,444,444,Hotel Vellara,0,2500, 300 ,Double Room,2 single beds,8.1,Very good ,137,No Rooms left,FREE cancellation • No prepayment needed
445,445,445,Hotel Phoenix,0,2160, 259 ,Standard Double Room,1 large double bed,2.5,Plesant ,6,No Rooms left,
446,446,446,Empark,2600,1560, 187 ,Economy Double Room,1 double bed,6.5,Plesant ,37,Only 2 rooms left ,Free cancellation
447,447,447,Rosary Meadows 1 BHK Studio Apartment Manyata Tech Park,0,2100, 252 ,Studio Apartment,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 46m²2 beds (1 double, 1 sofa bed)",8.0,Very good ,7,Only 1 left ,FREE cancellation • No prepayment needed
448,448,448,Hotel Monarch Stays Gandhi Nagar,1950,1755, 211 ,Standard Double Room,1 extra-large double bed,0.0,No Review,0,No Rooms left,FREE cancellation • No prepayment needed
449,449,449,Shoba Elite,2549,2294, 275 ,Standard Double Room,"2 beds (1 double, 1 futon)",7.5,Good ,43,No Rooms left,
450,450,450,SRI VIJAYA PALACE LODGING,0,600,Includes ,Deluxe Double Room,1 double bed,7.2,Good ,117,No Rooms left,FREE cancellation • No prepayment needed
451,451,451,MySpace Hotels Silverstar,4400,3168, 380 ,classic, 1 double or 2 singles,7.8,Good ,144,No Rooms left,FREE cancellation • No prepayment needed
452,452,452,Sunrise Triangles,0,1399, 168 ,Standard Double Room,1 large double bed,0.0,No Review,0,Only 5 rooms left ,FREE cancellation • No prepayment needed
453,453,453,Lavens-The Boutique Residence &Banquet-Fully Vaccinated Staff,4166,3125, 375 ,Deluxe Room,1 extra-large double bed,5.8,Plesant ,35,No Rooms left,Free cancellation
454,454,454,THE NISARGA GRAND,0,2500, 300 ,Standard Double Room with Fan,1 double bed,7.9,Good ,20,Only 1 room left ,
455,455,455,Stayhome Classic,3526,1657, 199 ,Standard Studio,Private studio • 1 bathroom • 1 kitchen • 10m²1 large double bed,8.6,Fabulous ,32,No Rooms left,FREE cancellation • No prepayment needed
456,456,456,Mistyblue Suites,0,4675, 561 ,Two-Bedroom Apartment,"Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 139m²4 beds (2 singles, 1 sofa bed, 1 large double)",8.6,Fabulous ,75,Only 5 left ,FREE cancellation • No prepayment needed
457,457,457,Hotel Phoenix,0,2160, 259 ,Standard Double Room,1 large double bed,2.5,Plesant ,6,No Rooms left,
458,458,458,Empark,2600,1560, 187 ,Economy Double Room,1 double bed,6.5,Plesant ,37,Only 2 rooms left ,Free cancellation
459,459,459,Rosary Meadows 1 BHK Studio Apartment Manyata Tech Park,0,2100, 252 ,Studio Apartment,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 46m²2 beds (1 double, 1 sofa bed)",8.0,Very good ,7,Only 1 left ,FREE cancellation • No prepayment needed
460,460,460,Hotel Monarch Stays Gandhi Nagar,1950,1755, 211 ,Standard Double Room,1 extra-large double bed,0.0,No Review,0,No Rooms left,FREE cancellation • No prepayment needed
461,461,461,Shoba Elite,2549,2294, 275 ,Standard Double Room,"2 beds (1 double, 1 futon)",7.5,Good ,43,No Rooms left,
462,462,462,Siri Delight,0,1679, 202 ,Queen Room,1 large double bed,7.6,Good ,15,No Rooms left,FREE cancellation • No prepayment needed
463,463,463,OYO Flagship 18338 White Fort,1098,549, 30 ,Classic Triple Room,1 large double bed,4.1,Plesant ,14,No Rooms left,Free cancellation
464,464,464,Golden Lotus Bangalore Boutique Suites,5200,4160, 499 ,Deluxe Double Room,Multiple bed types,7.1,Good ,187,No Rooms left,FREE cancellation • No prepayment needed
465,465,465,I V Sanctum Hotel,0,2800, 336 ,Standard Double Room,Multiple bed types,6.6,Plesant ,49,No Rooms left,FREE cancellation • No prepayment needed
466,466,466,OYO 11916 Varcity Plaza,1250,625, 45 ,Classic Triple Room,3 double beds,4.4,Plesant ,20,No Rooms left,Free cancellation
467,467,467,Greens Residency,836,669,Includes ,Budget Double Room,1 double bed,6.2,Plesant ,77,Only 5 rooms left ,
468,468,468,OYO Home 80784 Compact Studio KR Puram,1232,788, 30 ,Apartment,Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 16m²1 double bed,6.1,Plesant ,21,Only 3 left ,Free cancellation
469,469,469,YN Hotels,3499,2799, 336 ,Deluxe Room,1 large double bed,6.9,Plesant ,11,Only 5 rooms left ,Free cancellation
470,470,470,The Corporate Comforts,0,1500, 180 ,Standard Double Room with Fan,1 double bed,5.1,Plesant ,42,Only 7 rooms left ,FREE cancellation • No prepayment needed
471,471,471,Grand Empark,0,1200, 144 ,Standard Double Room with Fan,1 double bed,8.1,Very good ,50,Only 6 rooms left ,FREE cancellation • No prepayment needed
472,472,472,Capital O 88646 Sri Sapthagiri Comforts,1812,906, 45 ,Classic Triple Room,1 large double bed,4.0,Plesant ,2,No Rooms left,FREE cancellation • No prepayment needed
473,473,473,Collection O 3175 Pluspoint Suites,2373,1187, 187 ,Deluxe Triple Room,1 extra-large double bed,5.2,Plesant ,14,Only 5 rooms left ,Free cancellation
474,474,474,Comet Hotel,0,3199, 384 ,Deluxe King Room,1 large double bed,4.6,Plesant ,91,Only 4 rooms left ,FREE cancellation • No prepayment needed
475,475,475,Brunton Heights Executive Suites,0,4704, 564 ,Executive Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 42m²3 beds (2 singles, 1 sofa bed)",8.6,Fabulous ,11,Only 1 left ,FREE cancellation • No prepayment needed
476,476,476,Treebo Trend Greenwood Premier Suites Old Airport Road,4391,2196, 263 ,Standard Double Room,1 double bed,6.8,Plesant ,175,Only 7 rooms left ,Free cancellation
477,477,477,SPOT ON 83080 Hotel Aryan Residency,712,356, 45 ,Triple Room with Bathroom,1 large double bed,4.9,Plesant ,8,No Rooms left,FREE cancellation • No prepayment needed
478,478,478,SPOT ON 75492 The Royal Comfort,1984,1290, 45 ,Triple Room with Bathroom,1 large double bed,6.9,Plesant ,17,No Rooms left,Free cancellation
479,479,479,Mojatel By Icon,4099,3484, 418 ,Superior Twin Room,2 single beds,6.5,Plesant ,55,Only 6 rooms left ,FREE cancellation • No prepayment needed
480,480,480,Vanusa Residency,0,2800, 336 ,Deluxe Double or Twin Room,1 single bed,7.9,Good ,45,Only 3 rooms left ,
481,481,481,OYO 74173 Shree Ganesh Regency,1332,866, 30 ,Classic Triple Room,1 large double bed,5.3,Plesant ,15,No Rooms left,Free cancellation
482,482,482,OYO 2561 Hotel Resida Service Apartments,2154,1077, 174 ,Standard Double Room,1 large double bed,6.7,Plesant ,51,Only 1 room left ,Free cancellation
483,483,483,Icon Business Hotel by Bhagini,0,4699, 564 ,Studio Room,Private studio • 1 bathroom • 20m² 1 double or 2 singles,7.0,Good ,134,Only 3 left ,
484,484,484,krishna grand inn,0,1200, 144 ,Deluxe Double Room,2 single beds,3.0,Plesant ,6,No Rooms left,
485,485,485,Metro Stays,0,1150, 138 ,Deluxe Triple Room,1 double bed,7.5,Good ,4,Only 5 rooms left ,
486,486,486,Treebo Trend The Sai Leela Suites R T Nagar,4388,2194, 263 ,Standard Double Room,1 extra-large double bed,7.7,Good ,70,Only 5 rooms left ,Free cancellation
487,487,487,OYO 66612 Jai Comforts,1202,781, 30 ,Deluxe Double Room,1 large double bed,5.6,Plesant ,5,No Rooms left,Free cancellation
488,488,488,OYO 14203 Chetana Inn,2102,1051, 171 ,Standard Double Room,1 large double bed,6.7,Plesant ,22,No Rooms left,Free cancellation
489,489,489,Collection O 77042 Tetrad Hotel,3914,1957, 280 ,Budget Double Room,1 large double bed,6.4,Plesant ,75,No Rooms left,Free cancellation
490,490,490,Lusia Inn,0,999,Includes ,Standard Double Room,1 extra-large double bed,6.5,Plesant ,42,Only 3 rooms left ,
491,491,491,Starlit Suites,0,4544, 545 ,Premium Studio,Private studio • 1 bathroom • 62m²1 large double bed,7.4,Good ,13,No Rooms left,Free cancellation
492,492,492,Treebo Trend Akshaya Lalbagh Inn Ashoka Pillar,4917,2458, 295 ,[Sanitized] Standard  Double Room, 1 double or 2 singles,6.8,Plesant ,325,No Rooms left,Free cancellation
493,493,493,"Keys Select by Lemon Tree Hotels, Whitefield, Bengaluru",0,8612, 1550 ,Standard  Room,1 large double bed,6.3,Plesant ,77,No Rooms left,
494,494,494,Hotel Supreme Suites,0,2250, 270 ,Budget Double Room,1 double bed,7.7,Good ,4,Only 6 rooms left ,FREE cancellation • No prepayment needed
495,495,495,Vennela Hotel Apartments,0,2600, 312 ,Deluxe Double Room,1 single bed,9.6,Exceptional ,5,Only 1 room left ,FREE cancellation • No prepayment needed
496,496,496,Hilton Bengaluru Embassy Manyata Business Park,0,11938, 2149 ,Deluxe King Room,1 extra-large double bed,8.0,Very good ,2,No Rooms left,FREE cancellation • No prepayment needed
497,497,497,OYO 87278 Royal Grand Residency,864,432, 30 ,Standard Double Room,1 large double bed,1.0,Plesant ,3,No Rooms left,FREE cancellation • No prepayment needed
498,498,498,Stay for Uptu 10 pax in a 3BH @ Frazer Town For Parties/Event,0,1499, 180 ,Budget Double Room,1 large double bed,6.2,Plesant ,9,No Rooms left,FREE cancellation • No prepayment needed
499,499,499,HOTEL SHABARI GATE,0,900,Includes ,Triple Room,"2 beds (1 single, 1 double)",6.9,Plesant ,82,Only 1 room left ,FREE cancellation • No prepayment needed
500,500,500,Ring View Hotels - Hebbal,2199,1979, 237 ,Standard Double Room, 1 double or 2 singles,8.1,Very good ,75,Only 3 rooms left ,FREE cancellation • No prepayment needed
501,501,501,Ginger Bangalore- Inner Ring Road,0,3399, 408 ,Day use Room - Same day check in and check out - 9 am to 5 pm,1 double bed,5.1,Plesant ,20,No Rooms left,FREE cancellation • No prepayment needed
502,502,502,Our Native Village,9000,7200, 864 ,Deluxe Room,1 double bed,7.4,Good ,49,Only 2 rooms left ,
503,503,503,Mistyblue Stays,5700,5415, 650 ,Two-Bedroom Apartment,Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 102m²2 large double beds,8.5,Very good ,17,Only 4 left ,FREE cancellation • No prepayment needed
504,504,504,Temple Tree Hotel,0,5800, 696 ,Executive Room,1 large double bed,8.1,Very good ,93,Only 1 room left ,FREE cancellation • No prepayment needed
505,505,505,Treebo Trend Kings Suits HSR Layout,5736,2868, 344 ,Standard Double Room,1 large double bed,6.9,Plesant ,72,Only 2 rooms left ,Free cancellation
506,506,506,Oakwood Residence Prestige Whitefield Bangalore,0,8200, 1476 ,Studio Superior,Private studio • 1 bathroom • 1 kitchen • 45m²1 large double bed,8.4,Very good ,77,Only 1 left ,
507,507,507,Hotel Aurainn,0,1500, 180 ,Deluxe Double or Twin Room,1 extra-large double bed,3.7,Plesant ,3,Only 5 rooms left ,FREE cancellation • No prepayment needed
508,508,508,Treebo Trend Classio Richmond Shanti Nagar,4909,2455, 295 ,Standard Double Room,1 double bed,6.9,Plesant ,60,No Rooms left,Free cancellation
509,509,509,FabHotel Emara Boutique - Fully Vaccinated Staff,4584,2475, 297 ,Deluxe Room,1 large double bed,6.5,Plesant ,84,Only 4 rooms left ,Free cancellation
510,510,510,OYO Townhouse 238 Ulssor,4005,2003, 300 ,Standard Double Room,1 large double bed,6.6,Plesant ,25,No Rooms left,FREE cancellation • No prepayment needed
511,511,511,Hotel surya dev residency,0,2450, 294 ,Superior Deluxe Double or Twin Room ,1 extra-large double bed,7.8,Good ,67,No Rooms left,
512,512,512,Oasis Executive Suites,0,3500, 420 ,Deluxe Double or Twin Room,1 double bed,8.6,Fabulous ,56,Only 2 rooms left ,
513,513,513,Classia Suites,2249,1574, 189 ,Deluxe Twin Room,1 large double bed,5.9,Plesant ,48,Only 3 rooms left ,
514,514,514,FabExpress Oriental Suite Banashankari,2081,1124, 135 ,Deluxe Double Room,1 double bed,6.7,Plesant ,52,Only 1 room left ,Free cancellation
515,515,515,FabExpress Oriental Suites BTM Layout,3438,1857, 223 ,[Sanitised]Deluxe Room,1 large double bed,7.5,Good ,204,No Rooms left,Free cancellation
516,516,516,juSTa Off MG Road,5699,5129, 615 ,Deluxe Room,1 extra-large double bed,7.4,Good ,53,Only 2 rooms left ,Free cancellation
517,517,517,VAISHNAVI RESIDENCY,0,2520, 302 ,Deluxe Double Room,1 large double bed,7.0,Good ,4,No Rooms left,
518,518,518,Collection O 12684 Compact Green View,2623,1312, 202 ,Classic Triple Room,1 large double bed,7.3,Good ,23,Only 4 rooms left ,Free cancellation
519,519,519,OYO 24259 Hotel Blue Inn,1230,714, 45 ,Classic Triple Room,1 large double bed,4.2,Plesant ,14,No Rooms left,Free cancellation
520,520,520,Davanam Sarovar Portico Suites,11000,9900, 1782 ,Deluxe Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 88m²3 beds (2 singles, 1 sofa bed)",8.3,Very good ,120,Only 3 left ,FREE cancellation • No prepayment needed
521,521,521,"DBR SUITES, Sarjapur Road",3584,2222, 267 ,Deluxe Double Room,1 large double bed,4.4,Plesant ,5,No Rooms left,FREE cancellation • No prepayment needed
522,522,522,OYO 63711 Chetana Clove,1599,959, 45 ,Small Double Room,1 large double bed,6.0,Plesant ,9,No Rooms left,Free cancellation
523,523,523,Dhuvan Residency,950,713,Includes ,Double Room,"10 beds (4 singles, 5 doubles, 1 extra-large double)",0.0,No Review,0,Only 4 rooms left ,FREE cancellation • No prepayment needed
524,524,524,Elys'ees Serviced Suites,0,2475, 297 ,Deluxe Studio,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 40m²2 beds (1 sofa bed, 1 large double)",9.0,Superb ,4,No Rooms left,FREE cancellation • No prepayment needed
525,525,525,The Nines Business Hotel,3999,3199, 384 ,Standard Suite,Private suite1 double bed,7.8,Good ,14,Only 7 left ,FREE cancellation • No prepayment needed
526,526,526,Capital O 61292 Manyata Sterling,1734,867, 45 ,Deluxe Double Room,1 large double bed,6.0,Plesant ,42,No Rooms left,Free cancellation
527,527,527,Livancia Ayra,0,3000, 360 ,Superior King or Twin Room,2 single beds,7.6,Good ,50,No Rooms left,FREE cancellation • No prepayment needed
528,528,528,SRI VIJAYA PALACE LODGING,0,600,Includes ,Deluxe Double Room,1 double bed,7.2,Good ,117,No Rooms left,FREE cancellation • No prepayment needed
529,529,529,Octave Vels Grand Hotel,0,1400, 168 ,Deluxe Double Room,1 large double bed,10.0,Exceptional ,1,No Rooms left,FREE cancellation • No prepayment needed
530,530,530,Lavens-The Boutique Residence &Banquet-Fully Vaccinated Staff,4166,3125, 375 ,Deluxe Room,1 extra-large double bed,5.8,Plesant ,35,No Rooms left,Free cancellation
531,531,531,Cozy Duo,0,2500, 300 ,One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom • 139m²1 double bed,1.0,Plesant ,1,Only 2 left ,FREE cancellation • No prepayment needed
532,532,532,Penthouse 2.0,0,2479, 298 ,Double Room,"3 beds (2 doubles, 1 large double)",10.0,Exceptional ,1,Only 1 room left ,FREE cancellation • No prepayment needed
533,533,533,THE NISARGA GRAND,0,2500, 300 ,Standard Double Room with Fan,1 double bed,7.9,Good ,20,Only 1 room left ,
534,534,534,Stayhome Classic,3526,1657, 199 ,Standard Studio,Private studio • 1 bathroom • 1 kitchen • 10m²1 large double bed,8.6,Fabulous ,32,No Rooms left,FREE cancellation • No prepayment needed
535,535,535,Park INN Hospitality Apartment,0,3999, 480 ,Deluxe Double Room,1 double bed,7.0,Good ,2,Only 2 rooms left ,FREE cancellation • No prepayment needed
536,536,536,Treebo Trend Greenwood Premier Suites Old Airport Road,4391,2196, 263 ,Standard Double Room,1 double bed,6.8,Plesant ,175,Only 7 rooms left ,Free cancellation
537,537,537,Hotel Phoenix,0,2160, 259 ,Standard Double Room,1 large double bed,2.5,Plesant ,6,No Rooms left,
538,538,538,Empark,2600,1560, 187 ,Economy Double Room,1 double bed,6.5,Plesant ,37,Only 2 rooms left ,Free cancellation
539,539,539,Capital Residency,0,2400, 288 ,[Sanitised]Deluxe Room,1 large double bed,7.4,Good ,51,Only 3 rooms left ,FREE cancellation • No prepayment needed
540,540,540,OYO 1161 Hotel Golden Residency,1900,1159, 169 ,Classic Triple Room,1 extra-large double bed,3.5,Plesant ,2,No Rooms left,Free cancellation
541,541,541,Rosary Meadows 1 BHK Studio Apartment Manyata Tech Park,0,2100, 252 ,Studio Apartment,"Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 46m²2 beds (1 double, 1 sofa bed)",8.0,Very good ,7,Only 1 left ,FREE cancellation • No prepayment needed
542,542,542,HOTEL SHABARI GATE,0,900,Includes ,Triple Room,"2 beds (1 single, 1 double)",6.9,Plesant ,82,Only 1 room left ,FREE cancellation • No prepayment needed
543,543,543,Shoba Elite,2549,2294, 275 ,Standard Double Room,"2 beds (1 double, 1 futon)",7.5,Good ,43,No Rooms left,
544,544,544,Mojatel By Icon,4099,3484, 418 ,Superior Twin Room,2 single beds,6.5,Plesant ,55,Only 6 rooms left ,FREE cancellation • No prepayment needed
545,545,545,Golden Lotus Bangalore Boutique Suites,5200,4160, 499 ,Deluxe Double Room,Multiple bed types,7.1,Good ,187,No Rooms left,FREE cancellation • No prepayment needed
546,546,546,OYO 15392 Sri Sai Guru Comforts,1230,800, 30 ,Standard Double Room,2 large double beds,6.8,Plesant ,18,No Rooms left,Free cancellation
547,547,547,I V Sanctum Hotel,0,2800, 336 ,Standard Double Room,Multiple bed types,6.6,Plesant ,49,No Rooms left,FREE cancellation • No prepayment needed
548,548,548,Vintage inn by Pepe Hospitality,0,1980, 238 ,Standard Double Room,1 extra-large double bed,8.0,Very good ,1,No Rooms left,
549,549,549,OYO Home 80784 Compact Studio KR Puram,1232,788, 30 ,Apartment,Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 16m²1 double bed,6.1,Plesant ,21,Only 3 left ,Free cancellation
550,550,550,Treebo Trend Hotel Sampradaya Bistro Mailasandra,6736,3368, 404 ,[Sanitized] Deluxe Double Room,1 large double bed,7.9,Good ,103,Only 1 room left ,Free cancellation
551,551,551,Treebo Trip Galaxy Suites Hebbal,3690,1845, 221 ,Standard Double Room,1 large double bed,7.4,Good ,27,No Rooms left,Free cancellation
552,552,552,OYO 60746 Kings Suites,3909,1954, 265 ,Deluxe Triple Room,1 extra-large double bed,5.6,Plesant ,30,No Rooms left,Free cancellation
553,553,553,FabHotel Tej,5628,3039, 365 ,Deluxe Room,1 large double bed,6.5,Plesant ,13,No Rooms left,Free cancellation
554,554,554,Park INN Hospitality Apartment,0,3999, 480 ,Deluxe Double Room,1 double bed,7.0,Good ,2,Only 2 rooms left ,FREE cancellation • No prepayment needed
555,555,555,My home paying guest,0,1400, 268 ,Small Double Room,"3 beds (1 single, 2 doubles)",8.8,Fabulous ,6,Only 3 rooms left ,
556,556,556,Lakequile,0,4500, 540 ,Two-Bedroom Apartment,Entire apartment • 2 bedrooms • 2 bathrooms • 186m²2 large double beds,0.0,No Review,0,Only 2 left ,FREE cancellation • No prepayment needed
557,557,557,Clyford Suites,0,2800, 336 ,Standard Apartment,"Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 46m²2 beds (1 extra-large double, 1 large double)",6.7,Plesant ,120,Only 1 left ,FREE cancellation • No prepayment needed
558,558,558,CAPITAL O75993 Hotel Shanti Nivas,2107,1054, 171 ,Standard Double or Twin Room,1 double bed,4.5,Plesant ,4,No Rooms left,Free cancellation
559,559,559,OYO 69693 The Royal Park,1503,977, 30 ,Classic Triple Room,1 large double bed,5.7,Plesant ,21,No Rooms left,Free cancellation
560,560,560,Hotel Dvaraka Inn,2599,2339, 281 ,Standard Double Room,1 large double bed,7.1,Good ,25,No Rooms left,Free cancellation
561,561,561,The City Living,0,2500, 300 ,Deluxe King Room, 1 double or 2 singles,6.6,Plesant ,32,No Rooms left,Free cancellation
562,562,562,Treebo Trip Guru Comforts IIM Bangalore,3351,1676, 201 ,Standard Double Room,1 large double bed,7.2,Good ,39,Only 6 rooms left ,Free cancellation
563,563,563,S S Residency Sr Nagar kanteerava stadium mallya hospital vfs global tech park Bangalore,0,950,Includes ,Deluxe Double Room,2 single beds,5.3,Plesant ,24,Only 3 rooms left ,FREE cancellation • No prepayment needed
564,564,564,Treebo Trip Omkar Inn,2704,1352, 192 ,Standard Double Room,1 extra-large double bed,7.7,Good ,16,No Rooms left,Free cancellation
565,565,565,Hotel Sanman Gardenia,0,4000, 480 ,Deluxe Studio,Private studio • 1 bathroom • 23m²1 single bed,6.3,Plesant ,17,Only 5 left ,FREE cancellation • No prepayment needed
566,566,566,Collection O 14320 Pride Manyata,994,497, 45 ,Classic Triple Room,1 large double bed,5.1,Plesant ,12,No Rooms left,Free cancellation
567,567,567,Surya Nilaya,0,1710, 205 ,Three-Bedroom House,"Entire holiday home • 3 bedrooms • 1 living room • 3 bathrooms • 1 kitchen • 232m²4 beds (2 singles, 1 double, 1 large double)",10.0,Exceptional ,1,No Rooms left,
568,568,568,OYO 85096 Sammilana Comforts,2432,1216, 176 ,Classic Triple Room,1 large double bed,2.2,Plesant ,5,No Rooms left,FREE cancellation • No prepayment needed
569,569,569,Airport Residency,0,3000, 360 ,Budget Double Room,5 double beds,5.3,Plesant ,22,No Rooms left,
570,570,570,Hotel City Meridian,0,1080, 130 ,Queen Room,1 double bed,0.0,No Review,0,No Rooms left,
571,571,571,Modern Hotel,0,1320, 158 ,Deluxe Double Room,1 large double bed,7.1,Good ,10,Only 4 rooms left ,FREE cancellation • No prepayment needed
572,572,572,TGI Felicity,3500,2625, 315 ,Superior Double or Twin Room,1 double bed,0.0,No Review,0,No Rooms left,
573,573,573,"Keys Select by Lemon Tree Hotels, Hosur Road, Bengaluru",0,11483, 2067 ,Keys Double Room,1 double bed,6.9,Plesant ,116,No Rooms left,
574,574,574,OYO Flagship 46682 New Andra House,1008,504, 30 ,Small Double Room,1 large double bed,4.0,Plesant ,2,Only 3 rooms left ,Free cancellation
575,575,575,Vanusa Residency,0,2800, 336 ,Deluxe Double or Twin Room,1 single bed,7.9,Good ,45,Only 3 rooms left ,
576,576,576,My home paying guest,0,1400, 268 ,Small Double Room,"3 beds (1 single, 2 doubles)",8.8,Fabulous ,6,Only 3 rooms left ,
577,577,577,krishna grand inn,0,1200, 144 ,Deluxe Double Room,2 single beds,3.0,Plesant ,6,No Rooms left,
578,578,578,The City Living,0,2500, 300 ,Deluxe King Room, 1 double or 2 singles,6.6,Plesant ,32,No Rooms left,Free cancellation
579,579,579,Metro Stays,0,1150, 138 ,Deluxe Triple Room,1 double bed,7.5,Good ,4,Only 5 rooms left ,
580,580,580,"Royal Orchid Central, Bangalore",7041,6689, 803 ,Standard Room with 15% Discount on Food & Beverages,1 double bed,6.6,Plesant ,430,No Rooms left,FREE cancellation • No prepayment needed
581,581,581,"Keys Select by Lemon Tree Hotels, Whitefield, Bengaluru",0,8612, 1550 ,Standard  Room,1 large double bed,6.3,Plesant ,77,No Rooms left,
582,582,582,LikeMyHome Stay - 4 Bedroom Apartment,0,5227, 627 ,Apartment,"Entire apartment • 4 bedrooms • 1 living room • 4 bathrooms • 1 kitchen • 223m²4 beds (2 doubles, 2 large doubles)",8.3,Very good ,4,No Rooms left,
