,Unnamed: 0,Unnamed: 0.1,Hotel_name,Price_before_Discount,Price_after_Discount,Tax_and_Charges,Type_of_Room,Type_of_Beds,Rating,Review,No_of_Reviews,Rooms_left,Cancellation
154,154,154,OYO Flagship 9528 Hotel Midas Casita,963,568, 45 ,Standard Double Room,2 double beds,5.4,Plesant ,8,No Rooms left,Free cancellation
155,155,155,Octave Paris Residency,0,1150, 138 ,Standard Double or Twin Room,1 double bed,7.4,Good ,206,No Rooms left,FREE cancellation • No prepayment needed
156,156,156,Hotel Parkwood inn,0,809,Includes ,Standard Double Room,1 double bed,4.5,Plesant ,19,Only 4 rooms left ,FREE cancellation • No prepayment needed
157,157,157,OYO Flagship 79509 Phoenix Residency,2070,1035, 154 ,Classic Triple Room,2 large double beds,5.7,Plesant ,6,No Rooms left,FREE cancellation • No prepayment needed
158,158,158,OYO 76452 New Town Residency,1803,1154, 168 ,Classic Triple Room,1 extra-large double bed,3.0,Plesant ,7,No Rooms left,Free cancellation
159,159,159,Soundarya Hotel,1500,1350, 162 ,Standard Double or Twin Room,1 large double bed,8.7,Fabulous ,10,No Rooms left,FREE cancellation • No prepayment needed
160,160,160,La Sara Gateway,0,2800, 336 ,Superior Deluxe Double or Twin Room ,"3 beds (2 singles, 1 double)",10.0,Exceptional ,1,Only 2 rooms left ,
161,161,161,Palm Meadows Resort,0,8000, 1440 ,Superior Twin Room,"3 beds (2 singles, 1 futon)",8.0,Very good ,111,Only 1 room left ,
162,162,162,Hotel GM Plaza,0,1680, 202 ,Superior Queen Room,1 large double bed,6.5,Plesant ,35,No Rooms left,Free cancellation
163,163,163,Hotel Grand Suites,0,1100, 132 ,Standard Double Room,1 large double bed,6.7,Plesant ,304,Only 1 room left ,Free cancellation
164,164,164,OYO 46067 Sree Lakshmi Residency,1272,636, 45 ,Small Double Room,1 large double bed,2.6,Plesant ,9,Only 5 rooms left ,Free cancellation
165,165,165,Collection O 30067 Hotel Palmtree,2043,1328, 189 ,Classic Triple Room,1 large double bed,6.1,Plesant ,33,No Rooms left,Free cancellation
166,166,166,Alchemy Suits,3150,2205, 265 ,Deluxe Double Room,1 extra-large double bed,8.0,Very good ,17,Only 2 rooms left ,
167,167,167,Radha Hometel,0,3609, 433 ,Superior Twin Room,2 single beds,7.1,Good ,84,Only 4 rooms left ,
168,168,168,Jagadish Hotels Sankey Road,5610,4600, 552 ,Deluxe Room,1 extra-large double bed,7.5,Good ,19,No Rooms left,Free cancellation
169,169,169,Hotel Abooz,0,1900, 228 ,Standard Double or Twin Room,1 double bed,8.3,Very good ,6,Only 2 rooms left ,
170,170,170,Treebo Trip Hotel BCP Suites,3068,1534, 214 ,Standard Double Room,1 extra-large double bed,7.9,Good ,59,No Rooms left,Free cancellation
171,171,171,Capital O 36457 Boulevard Madiwala,2110,1055, 172 ,Classic Triple Room,1 large double bed,6.8,Plesant ,30,No Rooms left,Free cancellation
172,172,172,Hotel G Grand,0,1709, 205 ,Standard Double Room,1 double bed,0.0,No Review,0,Only 5 rooms left ,FREE cancellation • No prepayment needed
173,173,173,Vaccinated Staff - Capital O 12543 Three Square,918,532, 45 ,Budget Double Room,2 large double beds,4.8,Plesant ,5,No Rooms left,Free cancellation
174,174,174,Manpho Bell Hotel & Convention Center,2350,1998, 240 ,Deluxe Double or Twin Room,"3 beds (2 singles, 1 large double)",5.9,Plesant ,78,No Rooms left,FREE cancellation • No prepayment needed
175,175,175,"Country Inn & Suites By Radisson, Bengaluru Hebbal Road",0,6000, 720 ,Day Use Room  (Check in at 12 PM and Check out at 5 PM on the SAME Day),1 double bed,6.6,Plesant ,349,Only 4 rooms left ,Free cancellation
176,176,176,X by Bloom I Hebbal Manyata Park,0,2600, 312 ,Deluxe King Room,1 double bed,7.6,Good ,26,Only 7 rooms left ,FREE cancellation • No prepayment needed
177,177,177,Click Hotel Bangalore,3400,2720, 326 ,"Double Room - 10% off on Laundry, 10% off on F&B, Complimentary Drivers accommodation",1 double bed,8.7,Fabulous ,548,Only 3 rooms left ,
178,178,178,Hotel Apple Suites,2400,1920, 230 ,Deluxe Triple Room,"2 beds (1 single, 1 double)",7.6,Good ,224,Only 3 rooms left ,FREE cancellation • No prepayment needed
179,179,179,Orchid Suites - A Boutique Hotel Bangalore Off Residency Road,0,3000, 360 ,Deluxe Queen Room,1 large double bed,6.9,Plesant ,18,No Rooms left,FREE cancellation • No prepayment needed
180,180,180,FabHotel Sri Krishna Suites Bellandur - Fully Vaccinated Staff,4194,2391, 287 ,Deluxe Double Room,1 double bed,6.2,Plesant ,35,No Rooms left,Free cancellation
181,181,181,Octave Hotel - Double Road,0,1900, 228 ,Deluxe Double Room,1 double bed,8.1,Very good ,687,No Rooms left,FREE cancellation • No prepayment needed
182,182,182,Treebo Trend The Grand Skyla Marathahalli,5246,2623, 345 ,Deluxe Double Room,"2 beds (1 single, 1 extra-large double)",7.2,Good ,57,Only 7 rooms left ,Free cancellation
183,183,183,ibis Bengaluru Outer Ring Road,0,6800, 816 ,Deluxe Queen Room,1 large double bed,7.6,Good ,302,No Rooms left,FREE cancellation • No prepayment needed
184,184,184,Empire International Church Street,0,3500, 420 ,Standard Double Room,1 double bed,7.0,Good ,253,Only 2 rooms left ,FREE cancellation • No prepayment needed
185,185,185,Octave Royal Opera,0,1675, 201 ,Deluxe Double Room,1 large double bed,8.3,Very good ,438,No Rooms left,FREE cancellation • No prepayment needed
186,186,186,Radiant Resort,0,3800, 456 ,Deluxe Double or Twin Room with Fan, 1 double or 2 singles,6.2,Plesant ,146,No Rooms left,FREE cancellation • No prepayment needed
187,187,187,Treebo Trend Paul'S Inn Koramangala,5870,2935, 352 ,[Sanitized] Deluxe Double or Twin Room,Multiple bed types,6.7,Plesant ,243,Only 1 room left ,Free cancellation
188,188,188,Collection O 82501 Blue Waters Lounge,1136,568, 30 ,Classic Triple Room,1 extra-large double bed,6.1,Plesant ,12,Only 6 rooms left ,FREE cancellation • No prepayment needed
189,189,189,OYO 79879 Elite Stays JP Nagar,787,496, 30 ,Apartment,Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 16m²1 double bed,5.3,Plesant ,57,Only 1 left ,Free cancellation
190,190,190,Treebo Trend Apple Villa Richmond Circle,4704,2352, 282 ,[Sanitized] Standard Double or Twin Room,Multiple bed types,7.3,Good ,312,No Rooms left,Free cancellation
191,191,191,Hotel Avora Tree By Rivido Kempegowda Airport Road,3000,2400, 288 ,Standard King Room,1 double bed,7.7,Good ,152,No Rooms left,Free cancellation
192,192,192,Lemon Tree Hotel Electronics City,0,8414, 2507 ,Business Double or Twin Room, 1 double or 2 singles,7.4,Good ,121,Only 2 rooms left ,
193,193,193,Hotel Foxglove International,2999,2699, 324 ,Superior Double Room, 1 double or 2 singles,6.7,Plesant ,36,Only 3 rooms left ,Free cancellation
194,194,194,Bloom Hotel - Brookefield,0,4000, 480 ,Standard Queen Room,1 double bed,6.8,Plesant ,6,No Rooms left,
195,195,195,Upar Hotels Indiranagar,0,3220, 386 ,Deluxe Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 19m²2 beds (1 sofa bed, 1 large double)",6.8,Plesant ,21,Only 1 left ,
196,196,196,Treebo Trend Edha Suites Koramangala,6990,3495, 419 ,[Sanitized] Deluxe Double or Twin Room, 1 double or 2 singles,7.7,Good ,114,Only 3 rooms left ,Free cancellation
197,197,197,Treebo Trend Hotel Royal Orbit Hulimavu,3627,1813, 218 ,Standard Double Room,1 extra-large double bed,7.9,Good ,28,No Rooms left,Free cancellation
198,198,198,FabHotel S Comfort Inn,5208,2812, 337 ,Superior Double Room,1 large double bed,7.8,Good ,33,Only 1 room left ,Free cancellation
199,199,199,Icon Regency by Bhagini,0,2249, 270 ,Deluxe Studio,Private studio • 21m²1 single bed,7.7,Good ,120,Only 6 left ,
200,200,200,Luxtay Suites,0,2950, 354 ,Standard Double Room,1 double bed,7.7,Good ,105,Only 3 rooms left ,
201,201,201,Hotel The Shack,0,1978, 237 ,Deluxe Double room Non AC,1 large double bed,7.4,Good ,54,Only 1 room left ,FREE cancellation • No prepayment needed
202,202,202,Pai Viceroy,0,3800, 456 ,Superior Double Room,1 large double bed,7.9,Good ,62,Only 6 rooms left ,FREE cancellation • No prepayment needed
203,203,203,OYO Flagship 18680 Olivia Comforts,1230,726, 30 ,Standard Double Room,1 large double bed,3.8,Plesant ,15,Only 6 rooms left ,Free cancellation
204,204,204,Octave Brookefield Suites,0,2600, 312 ,Deluxe Double Room,1 large double bed,7.8,Good ,163,No Rooms left,FREE cancellation • No prepayment needed
205,205,205,The Byke Signature,0,3320, 398 ,Superior Twin Room,2 single beds,6.5,Plesant ,26,No Rooms left,
206,206,206,Courtyard by Marriott Bengaluru Outer Ring Road,0,12500, 2250 ,"Guest room, 2 Twin/Single Bed(s), City view",2 single beds,8.6,Fabulous ,133,Only 5 rooms left ,FREE cancellation • No prepayment needed
207,207,207,Hotel City Centaur and Convention Center- Vaccinated Staff,0,2070, 248 ,Standard Double Room with Fan,1 large double bed,6.4,Plesant ,232,No Rooms left,FREE cancellation • No prepayment needed
208,208,208,ICON Boutique by Bhagini,0,4724, 567 ,Deluxe King Studio,Private studio • 1 bathroom • 180m²2 single beds,8.1,Very good ,51,Only 6 left ,
209,209,209,Pinnacle Serviced Apartments,0,8000, 1440 ,Apartment,Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 167m²2 large double beds,0.0,No Review,0,No Rooms left,FREE cancellation • No prepayment needed
210,210,210,4 SEASONS SUITES J.P. NAGAR,0,2195, 263 ,Deluxe Queen Room,1 double bed,6.3,Plesant ,87,Only 1 room left ,FREE cancellation • No prepayment needed
211,211,211,"Hotel Monarch By Rivido, Bannerghatta Main Road",2500,1875, 225 ,Deluxe Queen Room,1 double bed,6.3,Plesant ,78,Only 6 rooms left ,Free cancellation
212,212,212,Treebo Trend Kozy Rooms HSR Layout,5059,2530, 304 ,Standard Double Room,1 large double bed,6.8,Plesant ,52,Only 1 room left ,Free cancellation
213,213,213,The Green Path Eco Hotel,2400,2040, 245 ,Standard Double Room,1 large double bed,4.4,Plesant ,5,No Rooms left,FREE cancellation • No prepayment needed
214,214,214,Radha Regent Electronic City,0,6500, 780 ,Superior Double Room,1 double bed,6.9,Plesant ,88,No Rooms left,Free cancellation
215,215,215,Octave Himalaya Monarch,0,1425, 171 ,Deluxe Double Room,1 large double bed,6.8,Plesant ,26,No Rooms left,FREE cancellation • No prepayment needed
216,216,216,Ginger Bangalore- Whitefield,0,4799, 576 ,Luxe Room,1 large double bed,6.2,Plesant ,42,No Rooms left,FREE cancellation • No prepayment needed
217,217,217,OYO 79887 The Purple Orchid Stay,1404,913, 45 ,Apartment,Entire apartment • 1 bedroom • 1 bathroom • 19m²1 double bed,3.3,Plesant ,34,Only 1 left ,Free cancellation
218,218,218,OYO Flagship 18372 Splenor Inn,1798,899, 30 ,Deluxe Double Room,1 large double bed,5.6,Plesant ,36,No Rooms left,Free cancellation
219,219,219,Nash Inn,0,899,Includes ,Double Room,2 single beds,5.1,Plesant ,46,Only 5 rooms left ,
220,220,220,FabHotel Phoenix,4650,2279, 273 ,Deluxe Room,1 large double bed,7.3,Good ,70,Only 6 rooms left ,Free cancellation
221,221,221,FabHotel Frazer Suites Pulikeshi Nagar,3855,2082, 250 ,Deluxe Room,1 double bed,7.4,Good ,69,Only 7 rooms left ,Free cancellation
222,222,222,OYO 385 TownHouse Navya International Ramamurthy Nagar,1952,976, 30 ,Standard Double Room,1 extra-large double bed,6.4,Plesant ,31,No Rooms left,Free cancellation
223,223,223,V One Hotel-Ambara Elite,0,3250, 390 ,Double Room with Balcony,1 extra-large double bed,6.4,Plesant ,15,No Rooms left,
224,224,224,Octave Hotel & Spa - Sarjapur Road,0,3325, 399 ,Super Deluxe Double or Twin Room,1 double bed,7.8,Good ,710,Only 7 rooms left ,FREE cancellation • No prepayment needed
225,225,225,SPOT ON 71449 Ssr Lodging And Boarding,1332,666, 30 ,Standard Double Room with Fan,1 large double bed,5.3,Plesant ,21,No Rooms left,Free cancellation
